file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
vocals_010,0.0,20.49375,_mfa_corpus,-47.982948999511954,-51.64940296519887,4.96086287974179,20.781520003204577
vocals_004,0.0,20.144,_mfa_corpus,-47.93480402805363,-52.41241154741885,3.2162862498568296,5.874658377335717
vocals_007,0.0,20.144,_mfa_corpus,,,,
vocals_008,0.0,20.143,_mfa_corpus,,,,
vocals_000,0.0,20.493,_mfa_corpus,,,,
vocals_005,0.0,20.143,_mfa_corpus,,,,
vocals_002,0.0,20.143,_mfa_corpus,,,,
vocals_001,0.0,20.144,_mfa_corpus,,,,
vocals_006,0.0,20.143,_mfa_corpus,,,,
vocals_009,0.0,20.143,_mfa_corpus,,,,
vocals_003,0.0,20.143,_mfa_corpus,,,,
vocals,0.0,229.27675,_mfa_corpus,-49.811622252267966,,,4.468822265816609
